route_id,origin_hub,destination,one_way_distance_km,nominal_battery_consumption_pct,route_class,known_operational_note
RTE-001,Nest_Alpha,Kigali_East_Clinic,26.5,42.7,standard,
RTE-002,Nest_Alpha,Kabuga_Health_Center,34.2,48.7,standard,
RTE-003,Nest_Alpha,Rwamagana_Clinic,28.5,44.2,standard,
RTE-004,Nest_Alpha,Bugesera_Health_Post,52.3,62.8,long,
RTE-005,Nest_Alpha,Ngoma_Health_Post,55.1,65.0,long,Southeast headwinds reduce return margin; prefer early-morning release
RTE-006,Nest_Alpha,Kayonza_Clinic,47.8,59.3,long,
RTE-007,Nest_Beta,Nyanza_District_Hospital,41.7,54.5,standard,
RTE-008,Nest_Beta,Huye_District_Hospital,36.4,50.4,standard,
RTE-009,Nest_Beta,Kamonyi_Health_Center,44.6,56.8,standard,
RTE-010,Nest_Beta,Gisagara_Clinic,29.4,44.9,standard,
RTE-011,Nest_Gamma,Musanze_Clinic,30.1,45.5,standard,
RTE-012,Nest_Gamma,Rubavu_Clinic,31.8,46.8,standard,
RTE-013,Nest_Gamma,Gakenke_Health_Post,48.7,60.0,long,
RTE-014,Nest_Gamma,Nyabihu_Clinic,42.5,55.1,standard,
RTE-015,Nest_Delta,Kicukiro_Health_Center,23.1,40.0,standard,
RTE-016,Nest_Delta,Rulindo_Clinic,37.9,51.6,standard,
RTE-017,Nest_Delta,Gicumbi_Hospital,50.6,61.5,long,
RTE-018,Nest_Delta,Mageragere_Clinic,33.8,48.4,standard,
